order_item_id,order_id,product_id,quantity,discount_pct
Oi0000001,Ord000001,Prod00419,5.0,0
Oi0000002,Ord000002,Prod00090,10.0,0
Oi0000003,Ord000002,Prod00503,10.0,0
Oi0000004,Ord000002,Prod00018,5.0,0
Oi0000005,Ord000002,Prod00591,5.0,20
Oi0000006,Ord000003,Prod00192,3.0,15
Oi0000009,Ord000004,Prod00594,2.0,20
Oi0000010,Ord000005,Prod00271,2.0,0
Oi0000011,Ord000006,Prod00253,10.0,15
Oi0000012,Ord000007,Prod00342,1.0,15
Oi0000013,Ord000008,Prod00531,2.0,10
Oi0000015,Ord000008,Prod00564,4.0,10
Oi0000018,Ord000009,Prod00404,3.0,0
Oi0000020,Ord000010,Prod00338,2.0,15
Oi0000021,Ord000011,Prod00522,5.0,25
Oi0000022,Ord000012,Prod00427,1.0,0
Oi0000023,Ord000012,Prod00350,1.0,20
Oi0000024,Ord000013,Prod00269,5.0,20
Oi0000025,Ord000013,Prod00316,2.0,20
Oi0000026,Ord000014,Prod00348,500.0,15
Oi0000027,Ord000015,Prod00557,3.0,0
Oi0000028,Ord000016,Prod00489,4.0,20
Oi0000029,Ord000017,Prod00367,10.0,15
Oi0000030,Ord000017,Prod00112,2.0,0
Oi0000031,Ord000017,Prod00424,10.0,0
Oi0000032,Ord000018,Prod00044,1.0,20
Oi0000033,Ord000018,Prod00530,3.0,5
Oi0000034,Ord000019,Prod00460,4.0,0
Oi0000035,Ord000019,Prod00246,2.0,0
Oi0000036,Ord000019,Prod00077,2.0,0
Oi0000037,Ord000019,Prod00461,1.0,0
Oi0000038,Ord000020,Prod00070,2.0,0
Oi0000039,Ord000021,Prod00257,2.0,0
Oi0000040,Ord000021,Prod00190,2.0,0
Oi0000041,Ord000021,Prod00262,1.0,20
Oi0000043,Ord000022,Prod00364,2.0,10
Oi0000045,Ord000023,Prod00435,1.0,20
Oi0000046,Ord000024,Prod00530,10.0,10
Oi0000047,Ord000024,Prod00385,10.0,0
Oi0000048,Ord000024,Prod00420,5.0,0
Oi0000049,Ord000024,Prod00152,5.0,5
Oi0000050,Ord000025,Prod00499,2.0,20
Oi0000051,Ord000025,Prod00396,1.0,0
Oi0000052,Ord000026,Prod00040,10.0,10
Oi0000053,Ord000027,Prod00464,2.0,10
Oi0000054,Ord000028,Prod00097,4.0,25
Oi0000055,Ord000029,Prod00110,2.0,20
Oi0000056,Ord000030,Prod00388,1.0,20
Oi0000058,Ord000030,Prod00263,1.0,5
Oi0000059,Ord000031,Prod00048,1.0,5
Oi0000060,Ord000031,Prod00461,2.0,5
Oi0000061,Ord000032,Prod00288,2.0,20
Oi0000062,Ord000032,Prod00464,1.0,25
Oi0000063,Ord000033,Prod00279,2.0,0
Oi0000064,Ord000033,Prod00370,2.0,15
Oi0000067,Ord000035,Prod00115,1.0,10
Oi0000068,Ord000035,Prod00355,5.0,5
Oi0000069,Ord000035,Prod00369,5.0,0
Oi0000070,Ord000035,Prod00258,2.0,0
Oi0000071,Ord000036,Prod00204,1.0,10
Oi0000072,Ord000037,Prod00569,2.0,10
Oi0000073,Ord000037,Prod00508,10.0,10
Oi0000074,Ord000037,Prod00365,1.0,0
Oi0000076,Ord000038,Prod00174,1.0,0
Oi0000077,Ord000038,Prod00471,4.0,15
Oi0000078,Ord000038,Prod00427,3.0,15
Oi0000079,Ord000039,Prod00127,10.0,0
Oi0000080,Ord000039,Prod00519,5.0,15
Oi0000081,Ord000040,Prod00515,1.0,5
Oi0000082,Ord000040,Prod00398,2.0,10
Oi0000083,Ord000040,Prod00466,2.0,0
Oi0000084,Ord000041,Prod00574,1.0,25
Oi0000085,Ord000042,Prod00492,4.0,0
Oi0000086,Ord000042,Prod00247,5.0,10
Oi0000087,Ord000042,Prod00133,5.0,25
Oi0000088,Ord000042,Prod00577,4.0,20
Oi0000089,Ord000043,Prod00157,2.0,0
Oi0000091,Ord000044,Prod00275,2.0,0
Oi0000093,Ord000044,Prod00286,1.0,5
Oi0000094,Ord000045,Prod00504,4.0,15
Oi0000095,Ord000046,Prod00043,2.0,5
Oi0000096,Ord000046,Prod00263,4.0,0
Oi0000097,Ord000046,Prod00422,4.0,20
Oi0000098,Ord000046,Prod00563,1.0,15
Oi0000099,Ord000047,Prod00110,1.0,15
Oi0000100,Ord000047,Prod00472,5.0,15
Oi0000102,Ord000048,Prod00062,2.0,0
Oi0000103,Ord000048,Prod00227,1.0,0
Oi0000104,Ord000049,Prod00495,2.0,10
Oi0000105,Ord000049,Prod00385,2.0,0
Oi0000106,Ord000050,Prod00135,1.0,20
Oi0000109,Ord000051,Prod00157,1.0,5
Oi0000110,Ord000051,Prod00137,2.0,0
Oi0000111,Ord000051,Prod00600,3.0,15
Oi0000112,Ord000051,Prod00364,2.0,10
Oi0000114,Ord000053,Prod00042,10.0,20
Oi0000115,Ord000054,Prod00120,1.0,0
Oi0000116,Ord000054,Prod00581,4.0,0
Oi0000119,Ord000056,Prod00462,5.0,0
Oi0000120,Ord000056,Prod00425,1.0,0
Oi0000121,Ord000057,Prod00253,4.0,15
Oi0000122,Ord000057,Prod00358,2.0,25
Oi0000123,Ord000058,Prod00137,10.0,20
Oi0000124,Ord000059,Prod00358,1.0,0
Oi0000125,Ord000059,Prod00569,10.0,10
Oi0000126,Ord000059,Prod00322,1.0,20
Oi0000127,Ord000060,Prod00533,4.0,25
Oi0000129,Ord000061,Prod00373,4.0,15
Oi0000130,Ord000062,Prod00539,1.0,20
Oi0000131,Ord000063,Prod00218,2.0,5
Oi0000132,Ord000064,Prod00566,3.0,0
Oi0000134,Ord000064,Prod00297,2.0,20
Oi0000135,Ord000064,Prod00046,5.0,20
Oi0000136,Ord000065,Prod00047,1.0,20
Oi0000137,Ord000066,Prod00426,2.0,0
Oi0000138,Ord000066,Prod00307,10.0,0
Oi0000139,Ord000066,Prod00549,10.0,0
Oi0000140,Ord000067,Prod00243,4.0,5
Oi0000141,Ord000067,Prod00423,10.0,0
Oi0000142,Ord000068,Prod00235,4.0,0
Oi0000143,Ord000069,Prod00109,1.0,0
Oi0000144,Ord000069,Prod00344,10.0,10
Oi0000146,Ord000070,Prod00591,10.0,25
Oi0000147,Ord000071,Prod00568,1.0,0
Oi0000148,Ord000071,Prod00352,4.0,0
Oi0000149,Ord000071,Prod00208,3.0,10
Oi0000151,Ord000072,Prod00456,2.0,15
Oi0000152,Ord000073,Prod00482,4.0,5
Oi0000153,Ord000073,Prod00246,10.0,0
Oi0000155,Ord000074,Prod00284,1.0,0
Oi0000156,Ord000075,Prod00486,1.0,5
Oi0000157,Ord000076,Prod00299,4.0,5
Oi0000158,Ord000076,Prod00226,3.0,0
Oi0000159,Ord000077,Prod00073,2.0,5
Oi0000160,Ord000077,Prod00525,1.0,0
Oi0000161,Ord000078,Prod00009,1.0,10
Oi0000162,Ord000079,Prod00173,4.0,0
Oi0000163,Ord000080,Prod00061,1.0,25
Oi0000164,Ord000081,Prod00485,3.0,25
Oi0000165,Ord000082,Prod00200,4.0,25
Oi0000166,Ord000083,Prod00500,2.0,0
Oi0000167,Ord000083,Prod00539,4.0,0
Oi0000169,Ord000084,Prod00020,5.0,25
Oi0000170,Ord000085,Prod00382,1.0,5
Oi0000171,Ord000086,Prod00324,5.0,25
Oi0000172,Ord000087,Prod00189,2.0,10
Oi0000173,Ord000088,Prod00124,1.0,0
Oi0000174,Ord000088,Prod00257,5.0,15
Oi0000175,Ord000089,Prod00049,10.0,5
Oi0000177,Ord000090,Prod00162,3.0,25
Oi0000178,Ord000090,Prod00193,1.0,5
Oi0000179,Ord000090,Prod00398,1.0,0
Oi0000180,Ord000091,Prod00073,1.0,10
Oi0000181,Ord000092,Prod00243,1.0,0
Oi0000182,Ord000093,Prod00142,2.0,0
Oi0000183,Ord000094,Prod00159,5.0,0
Oi0000184,Ord000094,Prod00091,5.0,0
Oi0000185,Ord000094,Prod00132,2.0,15
Oi0000186,Ord000094,Prod00330,10.0,15
Oi0000187,Ord000095,Prod00562,2.0,25
Oi0000188,Ord000095,Prod00252,5.0,20
Oi0000189,Ord000095,Prod00023,4.0,0
Oi0000190,Ord000096,Prod00112,1.0,15
Oi0000192,Ord000097,Prod00215,4.0,15
Oi0000193,Ord000098,Prod00422,1.0,0
Oi0000194,Ord000098,Prod00526,3.0,0
Oi0000195,Ord000098,Prod00235,5.0,0
Oi0000196,Ord000098,Prod00416,5.0,0
Oi0000197,Ord000099,Prod00479,1.0,0
Oi0000198,Ord000100,Prod00330,10.0,10
Oi0000199,Ord000101,Prod00519,2.0,0
Oi0000200,Ord000101,Prod00174,1.0,0
Oi0000201,Ord000101,Prod00066,2.0,0
Oi0000202,Ord000101,Prod00372,1.0,15
Oi0000203,Ord000102,Prod00528,2.0,20
Oi0000204,Ord000102,Prod00024,10.0,5
Oi0000205,Ord000102,Prod00495,2.0,0
Oi0000206,Ord000102,Prod00179,5.0,0
Oi0000207,Ord000103,Prod00315,2.0,20
Oi0000208,Ord000103,Prod00217,2.0,10
Oi0000209,Ord000104,Prod00349,2.0,10
