product_id,product_name,category,sub_category,unit_price,weight_kg,supplier_id
Prod00001,Team Sports Item 1,Sports,Team Sports,6735.55,13.88,Sup0013
Prod00002,Bags Item 2,Fashion,Bags,2149.16,8.09,Sup0029
Prod00003,Non-Fiction Item 3,Books,Non-Fiction,1908.75,7.79,Sup0052
Prod00004,Dairy Item 4,Grocery,Dairy,952.05,6.14,Sup0042
Prod00005,Cameras Item 5,Electronics,Cameras,13521.05,3.38,Sup0030
Prod00006,Dairy Item 6,Grocery,Dairy,1362.15,11.28,Sup0049
Prod00007,Cycling Item 7,Sports,Cycling,2862.81,3.5,Sup0015
Prod00008,Personal Care Item 8,Grocery,Personal Care,1252.68,0.54,Sup0057
Prod00009,Decor Item 9,Home & Kitchen,Decor,14308.44,5.55,Sup0015
Prod00010,Comics Item 10,Books,Comics,1823.07,16.59,Sup0006
Prod00011,Headphones Item 11,Electronics,Headphones,23056.68,6.34,Sup0006
Prod00012,Furniture Item 12,Home & Kitchen,Furniture,,3.85,Sup0009
Prod00013,Staples Item 13,Grocery,Staples,1126.93,2.75,Sup0002
Prod00014,Personal Care Item 14,Grocery,Personal Care,1249.25,17.12,Sup0052
Prod00015,Appliances Item 15,Home & Kitchen,Appliances,7663.52,24.02,Sup0041
Prod00016,Bags Item 16,Fashion,Bags,1496.4,6.75,Sup0055
Prod00017,Beverages Item 17,Grocery,Beverages,517.87,8.9,Sup0017
Prod00018,Appliances Item 18,Home & Kitchen,Appliances,1421.35,16.17,Sup0032
Prod00019,Beverages Item 19,Grocery,Beverages,805.76,17.59,Sup0018
Prod00020,Cookware Item 20,Home & Kitchen,Cookware,10398.93,19.02,Sup0039
Prod00021,Footwear Item 21,Fashion,Footwear,267.91,3.2,Sup0056
Prod00023,Team Sports Item 23,Sports,Team Sports,6042.04,9.54,Sup0059
Prod00024,Appliances Item 24,Home & Kitchen,Appliances,11140.33,3.97,Sup0012
Prod00025,Children Item 25,Books,Children,234.31,6.65,Sup0051
Prod00026,Snacks Item 26,Grocery,Snacks,1243.41,18.74,Sup0037
Prod00027,Storage Item 27,Home & Kitchen,Storage,7482.86,6.3,Sup0006
Prod00028,Fitness Item 28,Sports,Fitness,7611.43,22.91,Sup0012
Prod00029,Cameras Item 29,Electronics,Cameras,21203.68,23.63,Sup0053
Prod00030,Decor Item 30,Home & Kitchen,Decor,12993.92,1.4,Sup0034
Prod00031,Laptops Item 31,Electronics,Laptops,16389.85,19.99,Sup0046
Prod00032,Laptops Item 32,Electronics,Laptops,59539.3,12.75,Sup0018
Prod00033,Dairy Item 33,Grocery,Dairy,1124.51,21.37,Sup0022
Prod00034,Decor Item 34,Home & Kitchen,Decor,9950.12,19.08,Sup0025
Prod00035,Non-Fiction Item 35,Books,Non-Fiction,1439.64,9.68,Sup0043
Prod00036,Laptops Item 36,Electronics,Laptops,30386.32,18.07,Sup0027
Prod00037,Decor Item 37,Home & Kitchen,Decor,1342.68,15.69,Sup0057
Prod00038,Laptops Item 38,Electronics,Laptops,38054.08,21.82,Sup0029
Prod00039,Cookware Item 39,Home & Kitchen,Cookware,2311.71,2.02,Sup0056
Prod00040,Outdoor Item 40,Sports,Outdoor,9009.3,13.69,Sup0005
Prod00041,Comics Item 41,Books,Comics,301.75,9.01,Sup0019
Prod00042,Comics Item 42,Books,Comics,1251.78,22.61,Sup0019
Prod00043,Women Clothing Item 43,Fashion,Women Clothing,3453.27,16.18,Sup0020
Prod00044,Men Clothing Item 44,Fashion,Men Clothing,1768.25,12.57,Sup0018
Prod00045,Staples Item 45,Grocery,Staples,1445.08,18.12,Sup0003
