shipment_id,order_id,ship_date,delivery_date,carrier,shipping_cost,delivery_status,delivery_days,ship_month
Shp000002,Ord000002,2022-09-05,2022-09-06,Indiapost,413.53,Delivered,1,2022-09
Shp000003,Ord000003,2024-04-04,2024-04-19,Dtdc,552.47,Delivered,15,2024-04
Shp000004,Ord000004,2024-11-29,2024-11-30,Dtdc,66.02,Delivered,1,2024-11
Shp000005,Ord000005,2023-07-04,2023-07-10,Dtdc,82.97,Returned To Origin,6,2023-07
Shp000006,Ord000006,2023-04-09,2023-04-11,Bluedart,801.61,In Transit,2,2023-04
Shp000007,Ord000007,2023-03-14,2023-03-22,Xpressbees,94.57,Lost,8,2023-03
Shp000009,Ord000009,2024-10-28,2024-11-03,Ekart,,Returned To Origin,6,2024-10
Shp000010,Ord000010,2024-04-21,2024-04-24,Indiapost,498.56,Delivered,3,2024-04
Shp000011,Ord000011,2022-09-27,2022-10-02,Dtdc,782.79,Returned To Origin,5,2022-09
Shp000012,Ord000012,2022-12-24,2022-12-28,Xpressbees,451.79,Lost,4,2022-12
Shp000014,Ord000014,2022-08-15,2022-08-22,Delhivery,759.08,In Transit,7,2022-08
Shp000015,Ord000015,2023-07-23,2023-08-02,Indiapost,642.99,In Transit,10,2023-07
Shp000016,Ord000016,2022-11-03,2022-11-08,Fedex,651.72,Lost,5,2022-11
Shp000017,Ord000017,2024-05-23,2024-05-25,Ekart,51.28,Lost,2,2024-05
Shp000018,Ord000018,2022-11-11,2022-11-15,Xpressbees,419.41,In Transit,4,2022-11
Shp000019,Ord000019,2022-03-22,2022-03-26,Dtdc,193.48,Returned To Origin,4,2022-03
Shp000020,Ord000020,2024-05-12,2024-05-19,Fedex,273.77,Returned To Origin,7,2024-05
Shp000021,Ord000021,2024-07-02,2024-07-06,Ekart,580.34,Returned To Origin,4,2024-07
Shp000023,Ord000023,2024-09-02,2024-09-09,Bluedart,749.99,Returned To Origin,7,2024-09
Shp000024,Ord000024,2022-08-10,2022-08-17,Bluedart,459.31,Lost,7,2022-08
Shp000025,Ord000025,2023-11-05,2023-11-07,Ekart,564.46,Delayed,2,2023-11
Shp000026,Ord000026,2022-10-12,2022-10-13,Delhivery,666.39,In Transit,1,2022-10
Shp000027,Ord000027,2024-01-16,2024-01-20,Bluedart,655.09,Returned To Origin,4,2024-01
Shp000028,Ord000028,2022-04-14,2022-04-17,Delhivery,415.03,Returned To Origin,3,2022-04
Shp000029,Ord000029,2024-08-09,2024-08-16,Dtdc,884.33,In Transit,7,2024-08
Shp000030,Ord000030,2024-06-30,2024-07-08,Ekart,439.83,Lost,8,2024-06
Shp000031,Ord000031,2022-06-18,2022-06-20,Ekart,618.04,In Transit,2,2022-06
Shp000033,Ord000033,2023-07-18,2023-08-02,Dtdc,733.99,Lost,15,2023-07
Shp000034,Ord000034,2022-11-18,2022-11-20,Dtdc,352.1,Delayed,2,2022-11
Shp000035,Ord000035,2022-07-14,2022-07-16,Indiapost,186.2,Delayed,2,2022-07
Shp000036,Ord000036,2022-03-07,2022-03-12,Dtdc,738.51,Delivered,5,2022-03
Shp000037,Ord000037,2022-02-06,2022-02-09,Indiapost,457.5,Lost,3,2022-02
Shp000038,Ord000038,2022-05-23,2022-05-30,Delhivery,528.23,In Transit,7,2022-05
Shp000040,Ord000040,2022-09-13,2022-09-14,Ekart,853.06,Delivered,1,2022-09
Shp000041,Ord000041,2022-11-02,2022-11-07,Xpressbees,673.34,In Transit,5,2022-11
