supplier_id,supplier_name,country,lead_time_days,reliability_score
Sup0001,Gupta Traders,Bangladesh,10,88.7
Sup0002,Garcia Traders,Indonesia,3,
Sup0003,Davis Global,India,25,85.3
Sup0004,Iyer Manufacturing,Bangladesh,3,66.2
Sup0005,Nair Exports,Vietnam,15,74.8
Sup0006,Johnson Global,Bangladesh,3,80.9
Sup0007,Williams Traders,Bangladesh,-5,93.6
Sup0008,Patel Traders,Vietnam,14,93.4
Sup0009,Williams Industries,Sri Lanka,-5,66.3
Sup0010,Nair Enterprises,China,30,80.8
Sup0011,Jones Manufacturing,Bangladesh,-5,68.6
Sup0012,Verma Exports,India,15,62.6
Sup0013,Wilson Enterprises,Germany,10,75.4
Sup0014,Jones Exports,Bangladesh,7,81.9
Sup0015,Wilson Manufacturing,Indonesia,15,98.9
Sup0016,Patel Traders,China,7,90.9
Sup0017,Patel Manufacturing,Indonesia,30,80.6
Sup0018,Sharma Enterprises,China,-5,89.3
Sup0019,Smith Traders,Bangladesh,18,60.1
Sup0020,Nair Global,Usa,25,94.0
Sup0021,Davis Global,Vietnam,7,66.3
Sup0022,Davis Traders,Germany,21,
Sup0023,Rao Exports,India,10,96.9
Sup0024,Miller Traders,Usa,7,96.9
Sup0025,Davis Global,Indonesia,10,89.5
Sup0026,Rao Manufacturing,Germany,21,77.6
Sup0027,Patel Industries,India,30,82.9
Sup0028,Verma Exports,China,3,62.8
Sup0029,Miller Exports,Usa,30,69.5
Sup0030,Brown Exports,China,5,73.8
Sup0031,Verma Enterprises,China,3,73.2
Sup0032,Iyer Exports,Vietnam,25,76.5
Sup0033,Iyer Traders,Sri Lanka,25,85.4
Sup0034,Sharma Traders,Vietnam,7,78.8
Sup0035,Verma Exports,Indonesia,3,70.3
Sup0036,Jones Industries,Indonesia,25,79.0
Sup0037,Reddy Traders,India,15,82.8
Sup0038,Davis Exports,India,25,67.2
Sup0039,Iyer Manufacturing,China,30,83.2
Sup0040,Brown Enterprises,Germany,14,87.9
Sup0041,Williams Exports,Bangladesh,21,89.3
Sup0042,Jones Global,China,5,79.7
Sup0043,Johnson Traders,Vietnam,15,77.1
Sup0044,Rao Global,India,-5,71.7
Sup0045,Kumar Industries,China,5,66.1
Sup0046,Reddy Enterprises,Germany,10,93.3
Sup0047,Nair Traders,China,-5,70.8
Sup0048,Kumar Enterprises,Bangladesh,7,81.5
Sup0049,Sharma Traders,China,7,92.5
Sup0050,Kumar Manufacturing,Usa,3,95.1
Sup0051,Verma Industries,Vietnam,-5,64.0
Sup0052,Brown Global,Usa,10,98.1
Sup0053,Brown Traders,Usa,15,76.1
Sup0054,Iyer Industries,Usa,5,61.5
Sup0055,Reddy Manufacturing,Germany,14,94.0
Sup0056,Reddy Manufacturing,Germany,14,97.7
Sup0057,Davis Manufacturing,Germany,3,97.8
Sup0058,Nair Traders,China,30,88.4
Sup0059,Anderson Global,China,18,67.4
Sup0060,Brown Traders,Vietnam,15,97.0
