order_item_id,order_id,product_id,quantity,discount_pct
OI0000001,ORD000001,PROD00419,5.0,0
OI0000002,ORD000002,PROD00090,10.0,0
OI0000003,ORD000002,PROD00503,10.0,0
OI0000004,ORD000002,PROD00018,5.0,0
OI0000005,ORD000002,PROD00591,5.0,20
OI0000006,ORD000003,PROD00192,3.0,15
OI0000007,ORD000004,PROD00563,-1.0,15
OI0000008,ORD000004,PROD00442,-1.0,5
OI0000009,ORD000004,PROD00594,2.0,20
OI0000010,ORD000005,PROD00271,2.0,0
OI0000011,ORD000006,PROD00253,10.0,15
OI0000012,ORD000007,PROD00342,1.0,15
OI0000013,ORD000008,PROD00531,2.0,10
OI0000014,ORD000008,PROD9334,2.0,0
OI0000015,ORD000008,PROD00564,4.0,10
OI0000016,ORD000009,PROD00367,-1.0,25
OI0000017,ORD000009,PROD00052,2.0,15
OI0000018,ORD000009,PROD00404,3.0,0
OI0000019,ORD000010,PROD00250,-1.0,15
OI0000020,ORD000010,PROD00338,2.0,15
OI0000021,ORD000011,PROD00522,5.0,25
OI0000022,ORD000012,PROD00427,1.0,0
OI0000023,ORD000012,PROD00350,1.0,20
OI0000024,ORD000013,PROD00269,5.0,20
OI0000025,ORD000013,PROD00316,2.0,20
OI0000026,ORD000014,PROD00348,500.0,15
OI0000027,ORD000015,PROD00557,3.0,0
OI0000028,ORD000016,PROD00489,4.0,20
OI0000029,ORD000017,PROD00367,10.0,15
OI0000030,ORD000017,PROD00112,2.0,0
OI0000031,ORD000017,PROD00424,10.0,0
OI0000032,ORD000018,PROD00044,1.0,20
OI0000033,ORD000018,PROD00530,3.0,5
OI0000034,ORD000019,PROD00460,4.0,0
OI0000035,ORD000019,PROD00246,2.0,0
OI0000036,ORD000019,PROD00077,2.0,0
OI0000037,ORD000019,PROD00461,1.0,0
OI0000038,ORD000020,PROD00070,2.0,0
OI0000039,ORD000021,PROD00257,2.0,0
OI0000040,ORD000021,PROD00190,2.0,0
OI0000041,ORD000021,PROD00262,1.0,20
OI0000042,ORD000021,PROD00576,-1.0,0
OI0000043,ORD000022,PROD00364,2.0,10
OI0000044,ORD000023,PROD00448,-1.0,15
OI0000045,ORD000023,PROD00435,1.0,20
OI0000046,ORD000024,PROD00530,10.0,10
OI0000047,ORD000024,PROD00385,10.0,0
OI0000048,ORD000024,PROD00420,5.0,0
OI0000049,ORD000024,PROD00152,5.0,5
OI0000050,ORD000025,PROD00499,2.0,20
OI0000051,ORD000025,PROD00396,1.0,0
OI0000052,ORD000026,PROD00040,10.0,10
OI0000053,ORD000027,PROD00464,2.0,10
OI0000054,ORD000028,PROD00097,4.0,25
OI0000055,ORD000029,PROD00110,2.0,20
OI0000056,ORD000030,PROD00388,1.0,20
OI0000057,ORD000030,PROD00515,-1.0,0
OI0000058,ORD000030,PROD00263,1.0,5
OI0000059,ORD000031,PROD00048,1.0,5
OI0000060,ORD000031,PROD00461,2.0,5
OI0000061,ORD000032,PROD00288,2.0,20
OI0000062,ORD000032,PROD00464,1.0,25
OI0000063,ORD000033,PROD00279,2.0,0
OI0000064,ORD000033,PROD00370,2.0,15
OI0000065,ORD000034,PROD9761,-1.0,0
OI0000066,ORD000034,PROD00030,-1.0,25
OI0000067,ORD000035,PROD00115,1.0,10
OI0000068,ORD000035,PROD00355,5.0,5
OI0000069,ORD000035,PROD00369,5.0,0
OI0000070,ORD000035,PROD00258,2.0,0
OI0000071,ORD000036,PROD00204,1.0,10
OI0000072,ORD000037,PROD00569,2.0,10
OI0000073,ORD000037,PROD00508,10.0,10
OI0000074,ORD000037,PROD00365,1.0,0
OI0000075,ORD000038,PROD00332,-1.0,0
OI0000076,ORD000038,PROD00174,1.0,0
OI0000077,ORD000038,PROD00471,4.0,15
OI0000078,ORD000038,PROD00427,3.0,15
OI0000079,ORD000039,PROD00127,10.0,0
OI0000080,ORD000039,PROD00519,5.0,15
OI0000081,ORD000040,PROD00515,1.0,5
OI0000082,ORD000040,PROD00398,2.0,10
OI0000083,ORD000040,PROD00466,2.0,0
OI0000084,ORD000041,PROD00574,1.0,25
OI0000085,ORD000042,PROD00492,4.0,0
OI0000086,ORD000042,PROD00247,5.0,10
OI0000087,ORD000042,PROD00133,5.0,25
OI0000088,ORD000042,PROD00577,4.0,20
OI0000089,ORD000043,PROD00157,2.0,0
OI0000090,ORD000043,PROD00287,2.0,0
OI0000091,ORD000044,PROD00275,2.0,0
OI0000092,ORD000044,PROD00549,-1.0,10
OI0000093,ORD000044,PROD00286,1.0,5
OI0000094,ORD000045,PROD00504,4.0,15
OI0000095,ORD000046,PROD00043,2.0,5
OI0000096,ORD000046,PROD00263,4.0,0
OI0000097,ORD000046,PROD00422,4.0,20
OI0000098,ORD000046,PROD00563,1.0,15
OI0000099,ORD000047,PROD00110,1.0,15
OI0000100,ORD000047,PROD00472,5.0,15
OI0000101,ORD000047,PROD00052,1.0,0
OI0000102,ORD000048,PROD00062,2.0,0
OI0000103,ORD000048,PROD00227,1.0,0
OI0000104,ORD000049,PROD00495,2.0,10
OI0000105,ORD000049,PROD00385,2.0,0
OI0000106,ORD000050,PROD00135,1.0,20
OI0000107,ORD000050,PROD00552,-1.0,20
OI0000108,ORD000050,PROD00267,-1.0,0
OI0000109,ORD000051,PROD00157,1.0,5
OI0000110,ORD000051,PROD00137,2.0,0
OI0000111,ORD000051,PROD00600,3.0,15
OI0000112,ORD000051,PROD00364,2.0,10
OI0000113,ORD000052,PROD00500,-1.0,15
OI0000114,ORD000053,PROD00042,10.0,20
OI0000115,ORD000054,PROD00120,1.0,0
OI0000116,ORD000054,PROD00581,4.0,0
OI0000117,ORD000055,PROD00021,-1.0,0
OI0000118,ORD000056,PROD00557,-1.0,25
OI0000119,ORD000056,PROD00462,5.0,0
OI0000120,ORD000056,PROD00425,1.0,0
OI0000121,ORD000057,PROD00253,4.0,15
OI0000122,ORD000057,PROD00358,2.0,25
OI0000123,ORD000058,PROD00137,10.0,20
OI0000124,ORD000059,PROD00358,1.0,0
OI0000125,ORD000059,PROD00569,10.0,10
OI0000126,ORD000059,PROD00322,1.0,20
OI0000127,ORD000060,PROD00533,4.0,25
OI0000128,ORD000061,PROD00499,-1.0,15
OI0000129,ORD000061,PROD00373,4.0,15
OI0000130,ORD000062,PROD00539,1.0,20
OI0000131,ORD000063,PROD00218,2.0,5
OI0000132,ORD000064,PROD00566,3.0,0
OI0000133,ORD000064,PROD00328,-1.0,5
OI0000134,ORD000064,PROD00297,2.0,20
OI0000135,ORD000064,PROD00046,5.0,20
OI0000136,ORD000065,PROD00047,1.0,20
OI0000137,ORD000066,PROD00426,2.0,0
OI0000138,ORD000066,PROD00307,10.0,0
OI0000139,ORD000066,PROD00549,10.0,0
OI0000140,ORD000067,PROD00243,4.0,5
OI0000141,ORD000067,PROD00423,10.0,0
OI0000142,ORD000068,PROD00235,4.0,0
OI0000143,ORD000069,PROD00109,1.0,0
OI0000144,ORD000069,PROD00344,10.0,10
OI0000145,ORD000070,PROD00470,4.0,20
OI0000146,ORD000070,PROD00591,10.0,25
OI0000147,ORD000071,PROD00568,1.0,0
OI0000148,ORD000071,PROD00352,4.0,0
OI0000149,ORD000071,PROD00208,3.0,10
OI0000150,ORD000072,PROD00405,-1.0,5
OI0000151,ORD000072,PROD00456,2.0,15
OI0000152,ORD000073,PROD00482,4.0,5
OI0000153,ORD000073,PROD00246,10.0,0
OI0000154,ORD000074,PROD9021,1.0,0
OI0000155,ORD000074,PROD00284,1.0,0
OI0000156,ORD000075,PROD00486,1.0,5
OI0000157,ORD000076,PROD00299,4.0,5
OI0000158,ORD000076,PROD00226,3.0,0
OI0000159,ORD000077,PROD00073,2.0,5
OI0000160,ORD000077,PROD00525,1.0,0
OI0000161,ORD000078,PROD00009,1.0,10
OI0000162,ORD000079,PROD00173,4.0,0
OI0000163,ORD000080,PROD00061,1.0,25
OI0000164,ORD000081,PROD00485,3.0,25
OI0000165,ORD000082,PROD00200,4.0,25
OI0000166,ORD000083,PROD00500,2.0,0
OI0000167,ORD000083,PROD00539,4.0,0
OI0000168,ORD000083,PROD00012,-1.0,25
OI0000169,ORD000084,PROD00020,5.0,25
OI0000170,ORD000085,PROD00382,1.0,5
OI0000171,ORD000086,PROD00324,5.0,25
OI0000172,ORD000087,PROD00189,2.0,10
OI0000173,ORD000088,PROD00124,1.0,0
OI0000174,ORD000088,PROD00257,5.0,15
OI0000175,ORD000089,PROD00049,10.0,5
OI0000176,ORD000090,PROD00262,-1.0,10
OI0000177,ORD000090,PROD00162,3.0,25
OI0000178,ORD000090,PROD00193,1.0,5
OI0000179,ORD000090,PROD00398,1.0,0
OI0000180,ORD000091,PROD00073,1.0,10
OI0000181,ORD000092,PROD00243,1.0,0
OI0000182,ORD000093,PROD00142,2.0,0
OI0000183,ORD000094,PROD00159,5.0,0
OI0000184,ORD000094,PROD00091,5.0,0
OI0000185,ORD000094,PROD00132,2.0,15
OI0000186,ORD000094,PROD00330,10.0,15
OI0000187,ORD000095,PROD00562,2.0,25
