product_id,product_name,category,sub_category,unit_price,weight_kg,supplier_id
PROD00001,Team Sports Item 1,Sports,Team Sports,6735.55,13.88,SUP0013
PROD00002,Bags Item 2,fashion,Bags,2149.16,8.09,SUP0029
PROD00003,non-fiction item 3,BOOKS,non-fiction,1908.75,7.79,SUP0052
PROD00004,Dairy Item 4,Grocery,Dairy,952.05,6.14,SUP0042
PROD00005,Cameras Item 5,Electronics,Cameras,13521.05,3.38,SUP0030
PROD00006,dairy item 6,Grocery,Dairy,1362.15,11.28,SUP0049
PROD00007,Cycling Item 7,sports,cycling,2862.81,3.5,SUP0015
PROD00008,Personal Care Item 8,Grocery,PERSONAL CARE,1252.68,0.54,SUP0057
PROD00009,decor item 9,Home & Kitchen,Decor,14308.44,5.55,SUP0015
PROD00010,Comics Item 10,BOOKS,Comics,1823.07,16.59,SUP0006
PROD00011,Headphones Item 11,Electronics,HEADPHONES,23056.68,6.34,SUP0006
PROD00012,Furniture Item 12,HOME & KITCHEN,Furniture,₹9828.56,3.85,SUP0009
PROD00013,Staples Item 13,Grocery,Staples,1126.93,2.75,SUP0002
PROD00014,PERSONAL CARE ITEM 14,Grocery,Personal Care,1249.25,17.12,SUP0052
PROD00015,Appliances Item 15,Home & Kitchen,appliances,7663.52,24.02,SUP0041
PROD00016,bags item 16,Fashion,bags,1496.4,6.75,SUP0055
PROD00017,Beverages Item 17,Grocery,Beverages,517.87,8.9,SUP0017
PROD00018,Appliances Item 18,HOME & KITCHEN,appliances,1421.35,16.17,SUP0032
PROD00019,Beverages Item 19,grocery,Beverages,805.76,17.59,SUP0018
PROD00020,cookware item 20,HOME & KITCHEN,cookware,10398.93,19.02,SUP0039
PROD00021,Footwear Item 21,FASHION,FOOTWEAR,267.91,3.2,SUP0056
PROD00022,Storage Item 22,HOME & KITCHEN,STORAGE,-14487.64,12.32,SUP0037
PROD00023,Team Sports Item 23,Sports,Team Sports,6042.04,9.54,SUP0059
PROD00024,Appliances Item 24,home & kitchen,Appliances,11140.33,3.97,SUP0012
PROD00025,Children Item 25,Books,Children,234.31,6.65,SUP0051
PROD00026,Snacks Item 26,Grocery,Snacks,1243.41,18.74,SUP0037
PROD00027,storage item 27,Home & Kitchen,Storage,7482.86,6.3,SUP0006
PROD00028,Fitness Item 28,Sports,Fitness,7611.43,22.91,SUP0012
PROD00029,Cameras Item 29,ELECTRONICS,CAMERAS,21203.68,23.63,SUP0053
PROD00030,Decor Item 30,Home & Kitchen,Decor,12993.92,1.4,SUP0034
PROD00031,laptops item 31,Electronics,Laptops,16389.85,19.99,SUP0046
PROD00032,Laptops Item 32,Electronics,Laptops,59539.3,12.75,SUP0018
PROD00033,Dairy Item 33,Grocery,Dairy,1124.51,21.37,SUP0022
PROD00034,Decor Item 34,Home & Kitchen,decor,9950.12,19.08,SUP0025
PROD00035,Non-Fiction Item 35,Books,non-fiction,1439.64,9.68,SUP0043
PROD00036,Laptops Item 36,Electronics,LAPTOPS,30386.32,18.07,SUP0027
PROD00037,Decor Item 37,Home & Kitchen,DECOR,1342.68,15.69,SUP0057
PROD00038,laptops item 38,electronics,LAPTOPS,38054.08,21.82,SUP0029
PROD00039,Cookware Item 39,Home & Kitchen,Cookware,2311.71,2.02,SUP0056
PROD00040,Outdoor Item 40,Sports,Outdoor,9009.3,13.69,SUP0005
PROD00041,Comics Item 41,books,Comics,301.75,9.01,SUP0019
PROD00042,Comics Item 42,books,Comics,1251.78,22.61,SUP0019
PROD00043,Women Clothing Item 43,FASHION,Women Clothing,3453.27,16.18,SUP0020
PROD00044,Men Clothing Item 44,fashion,Men Clothing,1768.25,12.57,SUP0018
