shipment_id,order_id,ship_date,delivery_date,carrier,shipping_cost,delivery_status
SHP000001,ORD000001,07/04/2024,08-07-2024,BlueDart,144.87,Lost
SHP000002,ORD000002,2022/09/05,06/09/2022,IndiaPost,413.53,delivered
SHP000003,ORD000003,04/04/2024,04/19/2024,DTDC,552.47,Delivered
SHP000004,ORD000004,29/11/2024,30 Nov 2024,DTDC,66.02,Delivered
SHP000005,ORD000005,04/07/2023,2023/07/10,DTDC,82.97,Returned to Origin
SHP000006,ORD000006,09 Apr 2023,2023/04/11,BlueDart,801.61,In Transit
SHP000007,ORD000007,14/03/2023,2023-03-22,XpressBees,94.57,LOST
SHP000008,ORD000008,0000-00-00,08/31/2023,IndiaPost,212.03,RETURNED TO ORIGIN
SHP000009,ORD000009,2024/10/28,03-11-2024,Ekart,,Returned to Origin
SHP000010,ORD000010,2024-04-21,24-04-2024,IndiaPost,498.56,Delivered
SHP000011,ORD000011,27-09-2022,02 Oct 2022,DTDC,782.79,Returned to Origin
SHP000012,ORD000012,24-12-2022,2022/12/28,XpressBees,451.79,Lost
SHP000013,ORD000013,04/06/2022,04/12/2022,INDIAPOST,702.9,Delayed
SHP000014,ORD000014,15-08-2022,22-08-2022,delhivery,759.08,In Transit
SHP000015,ORD000015,07/23/2023,02/08/2023,IndiaPost,642.99,In Transit
SHP000016,ORD000016,03/11/2022,08 Nov 2022,FEDEX,651.72,Lost
SHP000017,ORD000017,23/05/2024,25/05/2024,Ekart,51.28,lost
SHP000018,ORD000018,11/11/2022,2022-11-15,XpressBees,419.41,In Transit
SHP000019,ORD000019,22-03-2022,26 Mar 2022,dtdc,193.48,Returned to Origin
SHP000020,ORD000020,12-05-2024,19 May 2024,fedex,273.77,Returned to Origin
SHP000021,ORD000021,2024-07-02,06/07/2024,Ekart,580.34,Returned to Origin
SHP000022,ORD000022,09/25/2022,10/01/2022,Ekart,,Delivered
SHP000023,ORD000023,2024/09/02,2024/09/09,BLUEDART,749.99,RETURNED TO ORIGIN
SHP000024,ORD000024,10 Aug 2022,2022-08-17,BlueDart,459.31,Lost
SHP000025,ORD000025,05 Nov 2023,07/11/2023,Ekart,564.46,Delayed
SHP000026,ORD000026,12 Oct 2022,13-10-2022,Delhivery,666.39,In Transit
SHP000027,ORD000027,16 Jan 2024,20/01/2024,BlueDart,655.09,returned to origin
SHP000028,ORD000028,2022/04/14,2022/04/17,Delhivery,415.03,Returned to Origin
SHP000029,ORD000029,09-08-2024,2024-08-16,dtdc,884.33,IN TRANSIT
SHP000030,ORD000030,30-06-2024,08/07/2024,Ekart,439.83,Lost
SHP000031,ORD000031,2022-06-18,2022-06-20,Ekart,618.04,in transit
SHP000032,ORD000032,05-11-2024,11/08/2024,XpressBees,313.47,In Transit
SHP000033,ORD000033,18/07/2023,02 Aug 2023,dtdc,733.99,Lost
SHP000034,ORD000034,2022/11/18,20 Nov 2022,DTDC,352.1,Delayed
SHP000035,ORD000035,2022/07/14,2022/07/16,indiapost,186.2,delayed
SHP000036,ORD000036,07-03-2022,2022/03/12,dtdc,738.51,Delivered
SHP000037,ORD000037,06-02-2022,09-02-2022,INDIAPOST,457.5,Lost
SHP000038,ORD000038,2022-05-23,2022-05-30,DELHIVERY,528.23,In Transit
SHP000039,ORD000039,03/08/2023,08/11/2023,DTDC,128.15,Returned to Origin
SHP000040,ORD000040,13 Sep 2022,14-09-2022,Ekart,853.06,Delivered
SHP000041,ORD000041,2022/11/02,07 Nov 2022,xpressbees,673.34,in transit
SHP000042,ORD000042,07/27/2024,02/08/2024,DELHIVERY,514.44,returned to origin
SHP000043,ORD000043,11 Aug 2023,13/08/2023,IndiaPost,490.7,Lost
SHP000044,ORD000044,08/29/2023,31/08/2023,IndiaPost,381.32,Returned to Origin
SHP000045,ORD000045,25/03/2024,30 Mar 2024,indiapost,565.55,Returned to Origin
SHP000046,ORD000046,2024-08-01,11/08/2024,fedex,888.48,Delayed
SHP000047,ORD000047,2022-01-22,2022-01-27,BLUEDART,298.22,Lost
SHP000048,ORD000048,2022-10-17,2022-10-24,XpressBees,388.57,LOST
SHP000049,ORD000049,2023/09/14,16 Sep 2023,Ekart,,Delivered
SHP000050,ORD000050,04 Sep 2022,2022/09/09,Ekart,109.36,Lost
SHP000051,ORD000051,05/13/2023,05/16/2023,Ekart,794.94,RETURNED TO ORIGIN
SHP000052,ORD000052,2024/12/13,12/18/2024,FedEx,144.73,Returned to Origin
SHP000053,ORD000053,03/04/2022,06 Apr 2022,Delhivery,330.7,Delayed
SHP000054,ORD000054,06 Oct 2024,2024-10-09,indiapost,89.65,In Transit
SHP000055,ORD000055,2024-10-20,2024-10-21,Ekart,63.91,Delivered
SHP000056,ORD000056,05/23/2022,27-05-2022,IndiaPost,221.49,Delivered
SHP000057,ORD000057,02/19/2022,22-02-2022,BLUEDART,95.65,Lost
SHP000058,ORD000058,2023/03/12,03/15/2023,BLUEDART,176.43,Delayed
SHP000059,ORD000059,2023/08/13,0000-00-00,delhivery,160.52,In Transit
SHP000060,ORD000060,15 Jan 2024,16/01/2024,XpressBees,65.19,DELIVERED
SHP000061,ORD000061,16/01/2024,2024/01/19,FEDEX,152.75,delayed
SHP000062,ORD000062,2024/12/13,16 Dec 2024,XpressBees,395.69,Delayed
SHP000063,ORD000063,01-09-2022,16 Sep 2022,ekart,853.28,Lost
SHP000064,ORD000064,16-03-2023,2023/03/17,Delhivery,689.17,In Transit
SHP000065,ORD000065,04-08-2024,2024-08-09,BLUEDART,870.28,In Transit
SHP000066,ORD000066,04/30/2024,0000-00-00,DTDC,390.67,Delivered
SHP000067,ORD000067,26/12/2023,29/12/2023,ekart,544.13,Delivered
SHP000068,ORD000068,05/01/2023,08/01/2023,BlueDart,70.51,LOST
SHP000069,ORD000069,14/04/2024,2024-04-16,IndiaPost,291.27,Delivered
SHP000070,ORD000070,18 Mar 2022,24/03/2022,Ekart,274.73,In Transit
SHP000071,ORD000071,26 May 2024,29/05/2024,DELHIVERY,112.3,Delivered
SHP000072,ORD000072,18-06-2022,06/20/2022,INDIAPOST,59.74,RETURNED TO ORIGIN
SHP000073,ORD000073,2023-02-18,21-02-2023,XpressBees,491.29,in transit
SHP000074,ORD000074,14/11/2022,19/11/2022,Delhivery,598.27,Delayed
SHP000075,ORD000075,02 Jun 2024,05 Jun 2024,DELHIVERY,234.96,RETURNED TO ORIGIN
SHP000076,ORD000076,01/14/2023,18/01/2023,Delhivery,265.67,Delivered
SHP000077,ORD000077,,07-01-2023,DELHIVERY,530.67,IN TRANSIT
SHP000078,ORD000078,2022-05-24,25/05/2022,DTDC,480.59,Delayed
SHP000079,ORD000079,10-09-2024,14 Sep 2024,XpressBees,812.51,DELAYED
SHP000080,ORD000080,2022-12-10,12/12/2022,IndiaPost,885.28,Delivered
