supplier_id,supplier_name,country,lead_time_days,reliability_score
SUP0001,Gupta Traders,Bangladesh,10,88.7
SUP0002,garcia traders,Indonesia,3,
SUP0003,Davis Global,India,25,85.3
SUP0004,Iyer Manufacturing,Bangladesh,3,66.2
SUP0005,Nair Exports,Vietnam,15,74.8
SUP0006,Johnson Global,Bangladesh,3,80.9
SUP0007,Williams Traders,Bangladesh,-5,93.6
SUP0008,Patel Traders,Vietnam,14,93.4
SUP0009,Williams Industries,Sri Lanka,-5,66.3
SUP0010,nair enterprises,China,30,80.8
SUP0011,Jones Manufacturing,Bangladesh,-5,68.6
SUP0012,Verma Exports,India,15,62.6
SUP0013,Wilson Enterprises,Germany,10,75.4
SUP0014,jones exports,Bangladesh,7,81.9
SUP0015,Wilson Manufacturing,Indonesia,15,98.9
SUP0016,Patel Traders,China,7,90.9
SUP0017,Patel Manufacturing,Indonesia,30,80.6
SUP0018,Sharma Enterprises,China,-5,89.3
SUP0019,Smith Traders,Bangladesh,18,60.1
SUP0020,nair global,USA,25,94.0
SUP0021,Davis Global,Vietnam,7,66.3
SUP0022,Davis Traders,Germany,21,
SUP0023,RAO EXPORTS,India,10,96.9
SUP0024,miller traders,USA,7,96.9
SUP0025,Davis Global,Indonesia,10,89.5
SUP0026,rao manufacturing,Germany,21,77.6
SUP0027,PATEL INDUSTRIES,India,30,82.9
SUP0028,verma exports,China,3,62.8
SUP0029,Miller Exports,USA,30,69.5
SUP0030,Brown Exports,China,5,73.8
SUP0031,Verma Enterprises,China,3,73.2
SUP0032,iyer exports,Vietnam,25,76.5
SUP0033,Iyer Traders,Sri Lanka,25,85.4
SUP0034,Sharma Traders,Vietnam,7,78.8
SUP0035,Verma Exports,Indonesia,3,70.3
SUP0036,jones industries,Indonesia,25,79.0
SUP0037,Reddy Traders,India,15,82.8
SUP0038,Davis Exports,India,25,67.2
SUP0039,Iyer Manufacturing,China,30,83.2
SUP0040,brown enterprises,Germany,14,87.9
SUP0041,WILLIAMS EXPORTS,Bangladesh,21,89.3
SUP0042,JONES GLOBAL,China,5,79.7
SUP0043,Johnson Traders,Vietnam,15,77.1
SUP0044,Rao Global,India,-5,71.7
SUP0045,kumar industries,China,5,66.1
SUP0046,Reddy Enterprises,Germany,10,93.3
SUP0047,NAIR TRADERS,China,-5,70.8
SUP0048,Kumar Enterprises,Bangladesh,7,81.5
SUP0049,Sharma Traders,China,7,92.5
SUP0050,Kumar Manufacturing,USA,3,95.1
SUP0051,Verma Industries,Vietnam,-5,64.0
SUP0052,Brown Global,USA,10,98.1
SUP0053,Brown Traders,USA,15,76.1
SUP0054,Iyer Industries,USA,5,61.5
SUP0055,reddy manufacturing,Germany,14,94.0
SUP0056,reddy manufacturing,Germany,14,97.7
SUP0057,davis manufacturing,Germany,3,97.8
SUP0058,Nair Traders,China,30,88.4
SUP0059,ANDERSON GLOBAL,China,18,67.4
SUP0060,Brown Traders,Vietnam,15,97.0
SUP0040,brown enterprises,Germany,14,87.9
SUP0042,JONES GLOBAL,China,5,79.7
SUP0003,Davis Global,India,25,85.3
